x, y, du, u,e_to_next_x, e_to_next_y, to_next_theta,tx, ty, t_theta,nx, ny, n_theta,kappa
0.0695333,3.79129,0.0099846,1.26804,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0693758,3.78131,0.0099846,1.27803,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0692184,3.77133,0.0099846,1.28801,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0690609,3.76134,0.0099846,1.298,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0689035,3.75136,0.0099846,1.30798,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.068746,3.74138,0.0099846,1.31797,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0685885,3.73139,0.0099846,1.32795,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0684311,3.72141,0.0099846,1.33794,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0682736,3.71143,0.0099846,1.34792,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0681162,3.70144,0.0099846,1.35791,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0679587,3.69146,0.0099846,1.36789,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0678013,3.68148,0.0099846,1.37787,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0676438,3.67149,0.0099846,1.38786,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0674864,3.66151,0.0099846,1.39784,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0673289,3.65153,0.0099846,1.40783,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0671715,3.64154,0.0099846,1.41781,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.067014,3.63156,0.0099846,1.4278,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0668565,3.62158,0.0099846,1.43778,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0666991,3.61159,0.0099846,1.44777,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0665416,3.60161,0.0099846,1.45775,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0663842,3.59163,0.0099846,1.46774,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0662267,3.58164,0.0099846,1.47772,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0660693,3.57166,0.0099846,1.48771,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0659118,3.56168,0.0099846,1.49769,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0657544,3.55169,0.0099846,1.50767,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0655969,3.54171,0.0099846,1.51766,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0654395,3.53173,0.0099846,1.52764,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-1.00074e-13,
0.065282,3.52174,0.0099846,1.53763,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
